Content,Date
"Tout est parfait, l accueil, le cadre, l ambiance chaleureuse de tous.Benjamin, le meilleur coloriste que j ai pu rencontrer durant mes 15 années de balayage. Quant à la coupe, je ne confierai plus ma tête à personne d autre que Sylvain. Il connait parfaitement tous les détails à apporter à une coupe pour qu'elle soit parfaite, tendance et facile à entretenir. Merci encore à vous 2",2023-01-07
"Un bonheur d'y aller régulièrement. Tout est impeccable, les prix sont ad hoc, mais, mais ils sont tout à fait justifiés. Benoît a des doigts de fée et un œil remarquable, un des meilleurs coiffeurs parisiens. Les personnes à l'accueil sans exception sont d'une très grande amabilité et gentillesse. Un îlot de bien être dans le tumulte parisien.",2023-01-05
"Un bonheur d'y aller régulièrement. Tout est impeccable, les prix sont ad hoc, mais, mais ils sont tout à fait justifiés. Benoît a des doigts de fée et un œil remarquable, un des meilleurs coiffeurs parisiens. Les personnes à l'accueil sans exception sont d'une très grande amabilité et gentillesse. Un îlot de bien être dans le tumulte parisien.",2023-01-07
"Je suis passée par hasard devant la maison de beauté, j’ai été accueilli comme rarement, j’ai même eu le privilège d’avoir une visite privée !! Un grand bravo pour cette réussite ce lieu est juste fabuleux! Un grand merci à Rokia et Antoine pour leur disponibilité et professionnalismeJe repars avec un bon cadeau en espérant faire un heureux!",2023-01-03
"Je suis passée par hasard devant la maison de beauté, j’ai été accueilli comme rarement, j’ai même eu le privilège d’avoir une visite privée !! Un grand bravo pour cette réussite ce lieu est juste fabuleux! Un grand merci à Rokia et Antoine pour leur disponibilité et professionnalismeJe repars avec un bon cadeau en espérant faire un heureux!",2023-01-06
"Excellent et chaleureux accueil de l’ensemble de l’équipe coiffure. Équipe passionnée et adorable !Annie (ma coloriste) est une grande professionnelle de la couleur, elle comprend et analyse le cheveu pour faire ressortir les belles nuances.Benoit très compétent, excellent coiffeur pour la coupe ! A bientôt.Service: Hairstyling",2023-01-04
"Excellent et chaleureux accueil de l’ensemble de l’équipe coiffure. Équipe passionnée et adorable !Annie (ma coloriste) est une grande professionnelle de la couleur, elle comprend et analyse le cheveu pour faire ressortir les belles nuances.Benoit très compétent, excellent coiffeur pour la coupe ! A bientôt.Service: Hairstyling",2023-01-07
"J'ai visité Paris sous un ciel gris et pourtant je me suis sentie en Italie ! De l'architecture au design des mobiliers, le style raffiné renforce la sérénité des prestations esthétiques. L'équipe CARITA a fait preuve de professionnalisme, allant jusqu'à nous proposer une visite privée de ce lieu iconique !",2023-01-02
"J'ai visité Paris sous un ciel gris et pourtant je me suis sentie en Italie ! De l'architecture au design des mobiliers, le style raffiné renforce la sérénité des prestations esthétiques. L'équipe CARITA a fait preuve de professionnalisme, allant jusqu'à nous proposer une visite privée de ce lieu iconique !",2023-01-06
"J'ai visité Paris sous un ciel gris et pourtant je me suis sentie en Italie ! De l'architecture au design des mobiliers, le style raffiné renforce la sérénité des prestations esthétiques. L'équipe CARITA a fait preuve de professionnalisme, allant jusqu'à nous proposer une visite privée de ce lieu iconique !",2023-01-07
"Endroit magnifique et personnel très accueillant. Je suis venue pour acheter un cadeau (soin + produit de beauté) je ne peux donc juger que l'accueil qui a été parfait. Je me suis sentie unique, considérée, tout ce que j'attends d'un tel établissement que je ne fréquente pourtant que très rarement.",2023-01-05
"Endroit magnifique et personnel très accueillant. Je suis venue pour acheter un cadeau (soin + produit de beauté) je ne peux donc juger que l'accueil qui a été parfait. Je me suis sentie unique, considérée, tout ce que j'attends d'un tel établissement que je ne fréquente pourtant que très rarement.",2023-01-07
Je me suis rendue à Carita pour la première fois aujourd'hui pour une coupe sur cheveux mi-long. J'en ressort plus que ravie ! Benjamin qui s'est occupé de moi est un Mozart de la coiffure. Je n'ai rien à redire ! Les deux personnes à l'accueil étaient extrêmement sympathiques. Un super moment !,2023-01-04
